year,order,name,conditions,surface,fin_commit,winner,winner_slug,currency,amount
2005,40,Amersfoort,Outdoor,Clay,"$380,000",Fernando Gonzalez,fernando-gonzalez,$,380000.0
2005,41,Indianapolis,Outdoor,Hard,"$600,000",Robby Ginepri,robby-ginepri,$,600000.0
2005,42,Stuttgart,Outdoor,Clay,"$719,000",Rafael Nadal,rafael-nadal,$,719000.0
2005,43,Kitzbuhel,Outdoor,Clay,"$760,000",Gaston Gaudio,gaston-gaudio,$,760000.0
2005,44,Los Angeles,Outdoor,Hard,"$380,000",Andre Agassi,andre-agassi,$,380000.0
2005,45,Umag,Outdoor,Clay,"$400,000",Guillermo Coria,guillermo-coria,$,400000.0
2005,46,Sopot,Outdoor,Clay,"$500,000",Gael Monfils,gael-monfils,$,500000.0
2005,47,Washington,Outdoor,Hard,"$600,000",Andy Roddick,andy-roddick,$,600000.0
2005,48,ATP Masters Series Canada,Outdoor,Hard,"$2,450,000",Rafael Nadal,rafael-nadal,$,2450000.0
2005,49,ATP Masters Series Cincinnati,Outdoor,Hard,"$2,450,000",Roger Federer,roger-federer,$,2450000.0
2005,50,New Haven,Outdoor,Hard,"$675,000",James Blake,james-blake,$,675000.0
2005,51,US Open,Outdoor,Hard,"$8,200,000",Roger Federer,roger-federer,$,8200000.0
2005,52,Beijing,Outdoor,Hard,"$500,000",Rafael Nadal,rafael-nadal,$,500000.0
2005,53,Bucharest,Outdoor,Clay,"$380,000",Florent Serra,florent-serra,$,380000.0
2005,54,Bangkok,Indoor,Hard,"$550,000",Roger Federer,roger-federer,$,550000.0
2005,55,Ho Chi Minh City,Indoor,Carpet,"$380,000",Jonas Bjorkman,jonas-bjorkman,$,380000.0
2005,56,Palermo,Outdoor,Clay,"$380,000",Igor Andreev,igor-andreev,$,380000.0
2005,57,Metz,Indoor,Hard,"$380,000",Ivan Ljubicic,ivan-ljubicic,$,380000.0
2005,58,Tokyo,Outdoor,Hard,"$765,000",Wesley Moodie,wesley-moodie,$,765000.0
2005,59,Moscow,Indoor,Carpet,"$1,000,000",Igor Andreev,igor-andreev,$,1000000.0
